titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
Sheitan,Deina Knath,2009,2,Marketing,35,PE,Bajo Pichanaqui
Appointment with Danger,Sandro Bletsoe,2000,99,Marketing,52,BO,La Cueva
The Hatchet Man,Alix Autry,1998,61,Research and Development,74,CN,Cikai
"Bakeneko: A Vengeful Spirit (Kaiby? nori no numa) (Ghost-Cat Cursed Pond, The)",Brockie Capstick,2004,67,Human Resources,87,RU,Bokhan
George Carlin: It's Bad for Ya!,Gerri Jerrolt,1986,29,Services,32,CN,Meixi
My First War,Kathryn Staniland,1993,92,Engineering,28,CO,Campoalegre
Live Free or Die Hard,Rosene Vannoort,2007,70,Engineering,77,NE,Dosso
Black Orpheus (Orfeu Negro),Otho South,2012,39,Services,98,BR,Palmeira
"Pacifier, The",Karalynn Found,2010,8,Human Resources,61,RU,Rayevskiy
Firelight,Julie Staner,1994,25,Support,16,PH,Apalit
"Little Mermaid 2: Return to the Sea, The",Aura McComas,1998,51,Accounting,82,BY,Dowsk
"Night in Heaven, A",Bernard Spat,1989,91,Accounting,61,ID,Ciampea
Ghost Machine,Sidonnie Crossan,1992,19,Business Development,31,PH,Palagao Norte
Raanjhanaa,Rory Grinter,2000,40,Business Development,69,FR,Saint-Maurice-l'Exil
Mimic 2,Jennie McIndrew,1966,3,Product Management,6,BR,Rolante
Gold Diggers of 1937,Jarad Persian,1981,84,Engineering,89,ID,Bilo
Inn of Evil (Inochi b? ni fur?),Virgil Capeling,2003,20,Legal,81,AM,Dalarik
Color of Night,Roderick Gounot,2009,92,Legal,59,HR,Gospi?
